order_id,customer_id,customer_name,customer_email,customer_phone,product_id,product_name,product_category,product_price,quantity,order_date,shipping_address,shipping_city,shipping_state,shipping_zip,total_price,payment_status,order_status,discount,sales_tax,promo_code
1,1,Alexander Miller,jason98@example.com,345.818.1982x973,1,Laptop,Electronics,799.99,3,2025-07-25,"8651 Ochoa Camp Suite 766
South David, VI 30484",Kingchester,California,23129,2104.310557840646,Pending,Pending,0.12319297414524104,167.9943268611151,discover
2,2,Ian Berry,lori14@example.org,389.774.1370,4,Headphones,Electronics,59.99,3,2025-08-22,"8233 Dunn Spurs
Clintonchester, TN 31057",South Katherine,Kentucky,92561,168.29367463633272,Failed,Pending,0.06487928745717207,8.781557577154212,
3,3,David Green,sydneylopez@example.com,+1-714-476-0246,1,Laptop,Electronics,799.99,2,2025-01-09,"PSC 6624, Box 1336
APO AE 17559",Zacharybury,Oregon,66476,1362.1737567156467,Failed,Cancelled,0.14863075993722,70.22617734258603,
4,4,Rachel Hudson,danielle40@example.net,(734)697-1979,1,Laptop,Electronics,799.99,2,2025-01-04,"48241 Jessica Fork Suite 085
Jacobston, VT 08256",Perrytown,Tennessee,01464,1569.2479687134473,Paid,Cancelled,0.01920775965109096,93.67517671992408,TV
5,5,Terry Lloyd,perezcheryl@example.net,(589)564-4798,3,T-shirt,Apparel,19.99,1,2025-05-07,"341 Burke Corners
South Austinside, AR 77463",Yolandaland,Iowa,61087,14.6711244376695,Paid,Pending,0.2660768165247874,1.1499082351488876,
6,6,James Vargas,woodsmatthew@example.com,+1-619-663-8643x59476,4,Headphones,Electronics,59.99,2,2025-04-03,"22240 Emily Branch
Fergusonside, NV 95335",South Lisafort,Idaho,15016,119.51715778941258,Failed,Pending,0.003857661365122755,7.906256091863368,
7,7,George Clark,catherine39@example.net,(236)794-9736,4,Headphones,Electronics,59.99,5,2025-08-29,"5317 Shelly Ways Suite 846
Port Lisafort, SC 45320",Wilsonborough,South Dakota,20695,220.4986150715891,Failed,Pending,0.2648820967774993,20.40573269808688,into
8,8,Danielle Kim,williamthompson@example.com,001-677-443-6893,3,T-shirt,Apparel,19.99,3,2025-09-10,"8914 Isabella Via
Loriville, PW 13478",West Benjaminstad,Wisconsin,45253,50.70359602552291,Paid,Pending,0.1545173249037366,4.144816543159176,
9,9,Jeremiah Gomez,thomasblankenship@example.com,550-200-2654x4437,1,Laptop,Electronics,799.99,2,2025-07-30,"15606 William Station Suite 802
Freemanland, IL 68239",Smallberg,Hawaii,11746,1444.778025246701,Failed,Pending,0.0970024467513964,103.89927806610685,
10,10,Laura Fuentes,griffinchristopher@example.com,001-426-924-1731x198,4,Headphones,Electronics,59.99,1,2025-05-24,"19995 Barron Harbors
Port Marcus, CT 49276",East Brianna,Arkansas,79542,54.0515769160444,Paid,Cancelled,0.09899021643533264,4.702165035057962,
11,11,Sandra Williams,sreese@example.net,392-945-9178x7093,2,Smartphone,Electronics,499.99,3,2025-10-09,"USNS Atkinson
FPO AP 86023",Thomasview,Nebraska,39112,1457.9475169531286,Paid,Cancelled,0.02801554900889449,85.32533709904408,
12,12,John Hobbs,badkins@example.net,5334862263,1,Laptop,Electronics,799.99,2,2025-07-23,"0008 Timothy Brooks Apt. 431
New Helen, WY 72444",South Darleneside,Missouri,56642,1226.995122120911,Failed,Pending,0.23311846265521388,79.92560627667228,
